framenumber,focal_fx,skew_s,principal_cx,principal_cy,rotation_r11,rotation_r12,rotation_r13,rotation_r21,rotation_r22,rotation_r23,rotation_r31,rotation_r32,rotation_r33,translation_t1,translation_t2,translation_t3
0,0.962,-0.0308,0.271,-0.676,-0.035,0.971,0.235,-0.483,-0.27,-0.235,0.934,-0.284,0.0,0.000000000000000000e+00.1,0.000000000000000000e+00.2,1.0
1,0.96222436,-0.030430157,0.27046442,-0.67643517,-0.035976086,0.97077227,0.23721237,-0.48493409,-0.2697829,-0.23798606,0.9330228,-0.28247821,0.0,0,0,1.0
2,0.96132863,-0.027993055,0.27388978,-0.6762253,-0.039108459,0.97082716,0.23649016,-0.48713139,-0.27252486,-0.23806043,0.93220615,-0.27777532,0.0,0,0,1.0
3,0.8643918,0.13030855,0.48557088,-0.5526945,-0.013862519,0.97160953,-0.23606102,-0.70315307,-0.50256085,0.19732811,0.84168321,0.33078033,0.0,0,0,1.0
4,0.86338782,0.1311278,0.48713365,-0.55236781,-0.012965451,0.97104925,-0.23840544,-0.70844221,-0.50430715,0.19953068,0.84011781,0.34455031,0.0,0,0,1.0
5,0.86249208,0.12843351,0.48943272,-0.55202627,-0.009642707,0.97122067,-0.23786415,-0.71203566,-0.50591171,0.20044677,0.83893412,0.3501963,0.0,0,0,1.0
6,0.86229539,0.12502369,0.49066049,-0.5517028,-0.006451783,0.97164357,-0.23623905,-0.7163831,-0.50629747,0.20055251,0.8386761,0.36095577,0.0,0,0,1.0
7,0.86227357,0.12493349,0.49072179,-0.55029261,-0.007818595,0.97222847,-0.23377842,-0.71753722,-0.50631523,0.1977544,0.83932936,0.36522201,0.0,0,0,1.0
8,0.86178792,0.1300074,0.49025622,-0.5487743,-0.013653199,0.97215968,-0.23379575,-0.72491282,-0.50701749,0.19479892,0.83959639,0.37353992,0.0,0,0,1.0
9,0.8648625,0.13332938,0.48390773,-0.54452884,-0.016233137,0.97097325,-0.23851217,-0.72729218,-0.5016771,0.19843528,0.84194928,0.38094413,0.0,0,0,1.0
10,0.86488014,0.13894756,0.4822931,-0.54293013,-0.021262698,0.97016954,-0.24136992,-0.72713464,-0.50145864,0.19851156,0.84206128,0.38546708,0.0,0,0,1.0
11,0.86549461,0.14076455,0.48066121,-0.53723586,-0.026548898,0.97120976,-0.23661578,-0.7302112,-0.50014472,0.19203877,0.84434044,0.39171249,0.0,0,0,1.0
